date,Australia,Belgium,Brazil,Canada,Czech Republic,Denmark,Estonia,Finland,France,Germany,Ireland,Italy,Japan,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Philippines,Singapore,Slovakia,Spain,Sweden,Switzerland,Taiwan,United Kingdom,United States
2020/4/26,-36,-70,-65,-57,-55,-22,-47,-45,-83,-52,-87,-92,-45,-81,-65,-43,-88,-43,-84,-70,-75,-92,-13,-73,-14,-78,-42
2020/4/27,-36,-63,-54,-45,-45,-20,-39,-37,-76,-43,-81,-72,-35,-66,-58,-34,-89,-19,-78,-67,-55,-85,-13,-59,-15,-69,-35
2020/4/28,-36,-68,-53,-46,-45,-20,-43,-39,-77,-48,-81,-75,-28,-69,-58,-35,-68,-18,-77,-66,-56,-85,-16,-64,-13,-74,-34
2020/4/29,-38,-68,-52,-46,-50,-26,-40,-35,-77,-46,-83,-75,-30,-70,-55,-34,-70,-16,-77,-67,-59,-84,-13,-64,-14,-73,-34
2020/4/30,-39,-60,-48,-47,-41,-28,-33,-30,-73,-34,-73,-71,-30,-62,-47,-37,-81,-5,-82,-67,-48,-82,-9,-62,-8,-74,-34
2020/5/1,-35,-83,-71,-47,-66,-29,-54,-69,-91,-82,-74,-92,-35,-92,-61,-40,-80,-74,-84,-68,-86,-94,-46,-71,3,-74,-32
2020/5/2,-33,-71,-57,-49,-55,-34,-51,-47,-78,-46,-77,-78,-43,-69,-59,-43,-83,-16,-84,-67,-59,-84,-20,-66,-10,-78,-34
2020/5/3,-34,-69,-65,-51,-53,-20,-43,-41,-81,-57,-77,-89,-45,-79,-63,-45,-87,-39,-87,-69,-78,-83,-18,-68,-9,-79,-34
2020/5/4,-39,-57,-50,-42,-44,-21,-33,-31,-70,-32,-74,-58,-28,-60,-54,-20,-80,-11,-81,-66,-50,-75,-14,-55,-12,-69,-29
2020/5/5,-32,-56,-50,-42,-45,-22,-28,-31,-70,-36,-68,-60,-23,-62,-56,-30,-81,-13,-81,-65,-55,-76,-14,-60,-11,-70,-28
2020/5/6,-33,-57,-49,-41,-44,-22,-27,-32,-72,-33,-69,-61,-36,-62,-56,-27,-79,-13,-80,-64,-48,-76,-14,-59,-14,-69,-29
2020/5/7,-32,-57,-48,-42,-31,-12,-28,-32,-69,-33,-70,-60,-31,-62,-56,-30,-72,-14,-80,-66,-35,-76,-13,-53,-10,-67,-29
2020/5/8,-29,-60,-46,-45,-68,-56,-28,-33,-83,-36,-70,-60,-34,-61,-57,-31,-70,-14,-80,-67,-75,-78,-14,-54,-5,-75,-32
2020/5/9,-25,-65,-47,-44,-40,-22,-34,-31,-76,-40,-74,-63,-39,-87,-56,-35,-71,-18,-79,-65,-38,-84,-16,-56,-5,-78,-30
2020/5/10,-29,-62,-59,-44,-42,-17,-24,-37,-79,-50,-77,-74,-38,-77,-59,-47,-72,-42,-81,-65,-61,-86,-20,-61,-5,-80,-30
2020/5/11,-31,-41,-49,-41,-34,-16,-24,-40,-46,-34,-67,-58,-32,-45,-57,-29,-72,-10,-78,-66,-35,-66,-13,-35,-10,-67,-31
2020/5/12,-31,-40,-51,-41,-28,-21,-16,-35,-45,-31,-66,-56,-30,-47,-55,-27,-70,-9,-78,-61,-43,-70,-18,-33,-15,-68,-28
2020/5/13,-31,-44,-51,-38,-32,-20,-21,-36,-51,-31,-68,-59,-31,-51,-55,-30,-70,-9,-78,-63,-47,-69,-18,-39,-11,-68,-26
2020/5/14,-31,-47,-52,-38,-36,-19,-20,-35,-49,-29,-68,-56,-30,-50,-53,-32,-35,-5,-78,-64,-41,-72,-16,-36,-10,-67,-28
2020/5/15,-29,-50,-52,-41,-38,-25,-23,-34,-48,-29,-70,-58,-32,-51,-53,-32,-35,-7,-80,-63,-49,-72,-17,-35,-5,-69,-29
2020/5/16,-26,-54,-55,-40,-31,-30,-30,-40,-51,-35,-74,-61,-40,-53,-55,-36,-31,-15,-75,-62,-39,-76,-19,-33,-12,-74,-30
2020/5/17,-26,-59,-63,-41,-22,-22,-27,-37,-55,-36,-75,-68,-32,-65,-60,-37,-34,-29,-79,-65,-55,-75,-20,-37,-3,-74,-30
2020/5/18,-26,-34,-50,-48,-26,-13,-12,-28,-39,-15,-60,-38,-32,-43,-52,-21,-33,-14,-70,-62,-27,-57,-11,-26,-17,-63,-26
2020/5/19,-28,-33,-51,-31,-24,-9,-13,-30,-40,-17,-59,-40,-29,-43,-53,-19,-36,-6,-71,-62,-32,-58,-10,-25,-23,-64,-24
2020/5/20,-27,-26,-50,-28,-19,6,-12,-24,-36,-6,-59,-40,-26,-40,-53,-11,-29,9,-70,-62,-24,-58,5,-16,-14,-64,-22
2020/5/21,-28,-65,-51,-30,-17,-38,-13,-47,-56,-55,-60,-37,-27,-80,-54,-35,-28,-61,-70,-63,-22,-58,-21,-58,-24,-64,-22
2020/5/22,-25,-38,-52,-34,-24,-7,-16,-29,-39,-19,-64,-38,-29,-46,-56,-22,-24,-1,-72,-63,-27,-60,-10,-18,-28,-66,-24
2020/5/23,-23,-47,-56,-33,-40,-17,-26,-37,-48,-35,-66,-38,-27,-52,-56,-32,-18,-16,-73,-61,-34,-66,-19,-35,-13,-72,-27
2020/5/24,-27,-58,-66,-32,-26,-15,-20,-34,-49,-42,-66,-43,-27,-69,-60,-45,-25,-26,-78,-66,-61,-67,-15,-32,0,-71,-25
2020/5/25,-25,-29,-53,-26,-18,-5,-7,-24,-34,-16,-55,-32,-22,-39,-53,-14,-29,0,-70,-62,-24,-44,0,-17,-7,-64,-28
2020/5/26,-26,-29,-50,-28,-13,-4,-7,-23,-35,-18,-55,-32,-22,-39,-54,-13,-27,-2,-68,-61,-28,-45,-1,-17,-14,-60,-22
2020/5/27,-24,-32,-48,-26,-9,-6,-8,-25,-38,-15,-57,-32,-20,-36,-54,-16,-26,-1,-69,-61,-24,-45,-2,-19,-20,-61,-21
2020/5/28,-24,-32,-48,-28,-18,-2,-9,-27,-38,-16,-56,-32,-20,-36,-53,-20,-24,0,-69,-63,-26,-44,0,-20,-20,-60,-21
2020/5/29,-23,-37,-47,-32,-15,2,-12,-26,-37,-15,-58,-35,-21,-32,-52,-22,-20,0,-70,-62,-27,-47,-2,-19,-9,-62,-23
2020/5/30,-20,-41,-50,-32,-19,-3,-23,-27,-39,-23,-63,-34,-20,-31,-53,-28,-12,-16,-69,-60,-29,-52,-6,-20,-4,-69,-24
2020/5/31,-23,-48,-60,-30,-24,-20,-14,-26,-40,-19,-64,-37,-22,-33,-57,-43,-15,-13,-74,-62,-72,-57,2,-19,-2,-67,-23
2020/6/1,-22,-57,-45,-23,-4,-31,-1,-6,-43,-45,-58,-15,-21,-59,-48,-2,-18,-54,-62,-61,-10,-38,1,-48,-10,-56,-18
2020/6/2,-23,-22,-46,-27,-8,15,-3,-11,-23,-6,-52,-32,-16,-21,-50,-7,-29,7,-62,-55,-21,-38,-2,-15,-10,-59,-18
2020/6/3,-20,-29,-44,-27,-8,5,-3,-11,-29,-11,-56,-29,-19,-27,-50,-11,-27,1,-62,-57,-19,-39,-1,-21,-10,-62,-16
2020/6/4,-20,-36,-45,-25,-12,10,-7,-17,-30,-20,-56,-33,-18,-29,-50,-23,-27,-1,-62,-59,-19,-41,-2,-24,-9,-61,-18
2020/6/5,-16,-41,-42,-29,-15,-37,-3,-18,-26,-20,-56,-28,-18,-32,-52,-25,-16,-5,-60,-56,-23,-37,-7,-20,-3,-63,-20
2020/6/6,-15,-39,-45,-29,-14,-1,-12,-24,-24,-25,-60,-25,-17,-29,-52,-23,-8,-8,-60,-56,-16,-43,-19,-17,-5,-70,-21
2020/6/7,-17,-45,-56,-26,-10,0,-5,-18,-23,-31,-60,-34,-15,-37,-56,-25,-12,-24,-65,-60,-41,-52,-5,-42,-10,-67,-19
2020/6/8,-15,-14,-39,-21,-8,5,5,-12,-21,-8,-40,-25,-17,-25,-50,-11,-21,2,-55,-56,-11,-29,2,-16,-16,-56,-16
2020/6/9,-19,-14,-42,-24,-4,4,3,-11,-22,-12,-43,-21,-13,-26,-50,-8,-19,3,-56,-56,-15,-31,3,-16,-12,-58,-16
2020/6/10,-20,-15,-36,-22,-8,2,8,-7,-25,-5,-47,-23,-14,-27,-48,-10,-17,3,-58,-58,-15,-28,4,-15,-8,-61,-14
2020/6/11,-19,-15,-54,-21,1,4,6,-7,-25,-36,-48,-21,-20,-18,-48,-12,-14,6,-56,-58,-6,-31,5,-21,-7,-59,-15
2020/6/12,-16,-18,-33,-25,-3,-1,-1,-9,-25,-8,-50,-19,-16,-24,-48,-11,-9,8,-61,-57,-10,-31,-3,-13,-3,-61,-17
2020/6/13,-14,-20,-46,-25,-8,-6,-10,-14,-27,-26,-51,-24,-18,-23,-48,-17,-1,-6,-58,-59,-11,-35,-9,-20,-3,-65,-18
2020/6/14,-16,-21,-57,-22,-6,7,1,-8,-25,-33,-52,-23,-16,-25,-52,-20,-6,-4,-63,-60,-39,-39,-3,-31,-6,-63,-16
2020/6/15,-17,-7,-40,-18,2,11,8,4,-18,-10,-37,-18,-12,-18,-43,-5,-18,14,-51,-56,-1,-23,6,-14,-5,-46,-14
2020/6/16,-18,-8,-41,-18,6,11,8,0,-17,-11,-38,-16,-9,-18,-42,-7,-17,13,-51,-56,-6,-26,1,-12,-7,-50,-13
2020/6/17,-17,-17,-40,-19,4,8,11,4,-22,-10,-41,-17,-11,-24,-43,-6,-15,13,-53,-57,-6,-24,6,-17,-9,-52,-12
2020/6/18,-16,-12,-41,-17,-4,9,9,3,-19,-12,-41,-15,-16,-19,-44,-11,-18,16,-53,-56,-8,-24,15,-15,-7,-54,-13
2020/6/19,-12,-13,-41,-21,-7,-1,3,-48,-17,-13,-43,-16,-15,-19,-46,-8,-8,10,-56,-36,-11,-26,-57,-15,-6,-53,-15
2020/6/20,-11,-17,-44,-22,-13,-7,-6,-58,-21,-20,-46,-17,-7,-19,-45,-11,1,-3,-52,-36,-17,-32,-46,-16,-8,-57,-17
2020/6/21,-16,-18,-54,-17,-2,6,5,-20,-11,-8,-48,-22,-9,-17,-50,-12,-8,-6,-57,-37,-20,-34,-4,-13,-1,-58,-17
2020/6/22,-17,-2,-40,-16,2,14,19,3,-13,-6,-38,-13,-16,-6,-46,1,-16,20,-50,-35,-4,-17,7,-12,-5,-45,-16
2020/6/23,-17,2,-40,-17,10,13,-27,-1,-12,-6,-37,-11,-8,-58,-46,6,-15,15,-50,-37,-2,-16,4,-10,-5,-48,-13
2020/6/24,-15,-5,-43,-23,4,10,-43,0,-18,-6,-38,-12,-11,-19,-45,0,-14,12,-52,-36,-2,-30,1,-12,1,-49,-12
2020/6/25,-15,-6,-43,-13,7,12,5,-4,-18,-11,-38,-13,-11,-17,-45,-3,-13,14,-51,-35,-2,-18,6,-9,7,-49,-13
2020/6/26,-12,-15,-43,-20,0,1,-3,-6,-17,-14,-42,-14,-11,-20,-47,-10,-7,5,-53,-32,-9,-22,-1,-11,8,-51,-17
2020/6/27,-12,-19,-50,-21,-6,-6,-12,-11,-21,-23,-47,-18,-8,-14,-47,-16,-2,-8,-53,-29,-12,-29,-8,-13,-5,-59,-19
2020/6/28,-14,-12,-57,-17,2,3,-2,-6,-13,-18,-48,-22,-12,-3,-50,-4,-6,-5,-61,-34,-4,-31,0,-17,-6,-56,-17
2020/6/29,-14,2,-42,-9,0,15,6,0,-9,-3,-26,-10,-9,-11,-42,-2,-17,19,-48,-31,-1,-13,12,-8,-6,-45,-13
